SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;11;1;Stockholm;;;;;;
2;110;2;Stockholms län;;;;;;
3;0114;3;Upplands Väsby;;;;;;
4;0115;3;Vallentuna;;;;;;
5;0117;3;Österåker;;;;;;
6;0120;3;Värmdö;;;;;;
7;0123;3;Järfälla;;;;;;
8;0125;3;Ekerö;;;;;;
9;0126;3;Huddinge;;;;;;
10;0127;3;Botkyrka;;;;;;
11;0128;3;Salem;;;;;;
12;0136;3;Haninge;;;;;;
13;0138;3;Tyresö;;;;;;
14;0139;3;Upplands-Bro;;;;;;
15;0140;3;Nykvarn;;;;;;
16;0160;3;Täby;;;;;;
17;0162;3;Danderyd;;;;;;
18;0163;3;Sollentuna;;;;;;
19;0180;3;Stockholm;;;;;;
20;0181;3;Södertälje;;;;;;
21;0182;3;Nacka;;;;;;
22;0183;3;Sundbyberg;;;;;;
23;0184;3;Solna;;;;;;
24;0186;3;Lidingö;;;;;;
25;0187;3;Vaxholm;;;;;;
26;0188;3;Norrtälje;;;;;;
27;0191;3;Sigtuna;;;;;;
28;0192;3;Nynäshamn;;;;;;
29;12;1;East Middle Sweden;;;;;;
30;121;2;Uppsala län;;;;;;
31;0305;3;Håbo;;;;;;
32;0319;3;Älvkarleby;;;;;;
33;0330;3;Knivsta;;;;;;
34;0331;3;Heby;;;;;;
35;0360;3;Tierp;;;;;;
36;0380;3;Uppsala;;;;;;
37;0381;3;Enköping;;;;;;
38;0382;3;Östhammar;;;;;;
39;122;2;Södermanlands län;;;;;;
40;0428;3;Vingåker;;;;;;
41;0461;3;Gnesta;;;;;;
42;0480;3;Nyköping;;;;;;
43;0481;3;Oxelösund;;;;;;
44;0482;3;Flen;;;;;;
45;0483;3;Katrineholm;;;;;;
46;0484;3;Eskilstuna;;;;;;
47;0486;3;Strängnäs;;;;;;
48;0488;3;Trosa;;;;;;
49;123;2;Östergötlands län;;;;;;
50;0509;3;Ödeshög;;;;;;
51;0512;3;Ydre;;;;;;
52;0513;3;Kinda;;;;;;
53;0560;3;Boxholm;;;;;;
54;0561;3;Åtvidaberg;;;;;;
55;0562;3;Finspång;;;;;;
56;0563;3;Valdemarsvik;;;;;;
57;0580;3;Linköping;;;;;;
58;0581;3;Norrköping;;;;;;
59;0582;3;Söderköping;;;;;;
60;0583;3;Motala;;;;;;
61;0584;3;Vadstena;;;;;;
62;0586;3;Mjölby;;;;;;
63;124;2;Örebro län;;;;;;
64;1814;3;Lekeberg;;;;;;
65;1860;3;Laxå;;;;;;
66;1861;3;Hallsberg;;;;;;
67;1862;3;Degerfors;;;;;;
68;1863;3;Hällefors;;;;;;
69;1864;3;Ljusnarsberg;;;;;;
70;1880;3;Örebro;;;;;;
71;1881;3;Kumla;;;;;;
72;1882;3;Askersund;;;;;;
73;1883;3;Karlskoga;;;;;;
74;1884;3;Nora;;;;;;
75;1885;3;Lindesberg;;;;;;
76;125;2;Västmanlands län;;;;;;
77;1904;3;Skinnskatteberg;;;;;;
78;1907;3;Surahammar;;;;;;
79;1960;3;Kungsör;;;;;;
80;1961;3;Hallstahammar;;;;;;
81;1962;3;Norberg;;;;;;
82;1980;3;Västerås;;;;;;
83;1981;3;Sala;;;;;;
84;1982;3;Fagersta;;;;;;
85;1983;3;Köping;;;;;;
86;1984;3;Arboga;;;;;;
87;21;1;Småland and the islands;;;;;;
88;211;2;Jönköpings län;;;;;;
89;0604;3;Aneby;;;;;;
